ID,CLASSIFIED,TYPE
LUCENE-1001,RFE,RFE
LUCENE-1002,BUILD_SYSTEM,BUG
LUCENE-1003,BUG,BUG
LUCENE-1005,BUG,BUG
LUCENE-1006,BUG,BUG
LUCENE-1007,RFE,IMPROVEMENT
LUCENE-1008,BUG,BUG
LUCENE-1009,IMPROVEMENT,BUG
LUCENE-1010,BUG,BUG
LUCENE-1011,BUG,BUG
LUCENE-1012,BUG,BUG
LUCENE-1013,BUG,BUG
LUCENE-1015,RFE,IMPROVEMENT
LUCENE-1016,RFE,RFE
LUCENE-1018,BUG,BUG
LUCENE-1019,RFE,IMPROVEMENT
LUCENE-1020,RFE,RFE
LUCENE-1021,TEST,BUG
LUCENE-1022,CLEANUP,BUG
LUCENE-1027,IMPROVEMENT,BUG
LUCENE-1028,DESIGN_DEFECT,BUG
LUCENE-1031,DOCUMENTATION,IMPROVEMENT
LUCENE-1036,BUG,BUG
LUCENE-1038,RFE,IMPROVEMENT
LUCENE-1040,IMPROVEMENT,BUG
LUCENE-1042,SPEC,BUG
LUCENE-1043,IMPROVEMENT,IMPROVEMENT
LUCENE-1044,IMPROVEMENT,BUG
LUCENE-1045,BUG,BUG
LUCENE-1046,BUG,BUG
LUCENE-1047,REFACTORING,IMPROVEMENT
LUCENE-1048,BUG,BUG
LUCENE-1049,IMPROVEMENT,IMPROVEMENT
LUCENE-1050,BUG,BUG
LUCENE-1051,DOCUMENTATION,IMPROVEMENT
LUCENE-1052,IMPROVEMENT,IMPROVEMENT
LUCENE-1055,BUILD_SYSTEM,TASK
LUCENE-1057,BUG,BUG
LUCENE-1058,RFE,IMPROVEMENT
LUCENE-1059,IMPROVEMENT,IMPROVEMENT
LUCENE-1060,DOCUMENTATION,IMPROVEMENT
LUCENE-1061,RFE,IMPROVEMENT
LUCENE-1062,IMPROVEMENT,BUG
LUCENE-1064,DESIGN_DEFECT,IMPROVEMENT
LUCENE-1066,DOCUMENTATION,IMPROVEMENT
LUCENE-1067,BUG,BUG
LUCENE-1068,BUG,BUG
LUCENE-1069,BUG,BUG
LUCENE-1071,BUG,BUG
LUCENE-1072,BUG,BUG
LUCENE-1073,TEST,IMPROVEMENT
LUCENE-1075,BUG,BUG
LUCENE-1076,RFE,IMPROVEMENT
LUCENE-1077,RFE,RFE
LUCENE-1078,CLEANUP,IMPROVEMENT
LUCENE-1079,CLEANUP,IMPROVEMENT
LUCENE-1080,OTHER,IMPROVEMENT
LUCENE-1082,BUG,BUG
LUCENE-1084,IMPROVEMENT,IMPROVEMENT
LUCENE-1086,BUG,BUG
LUCENE-1087,BUG,BUG
LUCENE-1089,RFE,IMPROVEMENT
LUCENE-1090,IMPROVEMENT,IMPROVEMENT
LUCENE-1092,BUG,BUG
LUCENE-1094,BUG,BUG
LUCENE-1095,RFE,IMPROVEMENT
LUCENE-1096,BUG,BUG
LUCENE-1097,IMPROVEMENT,BUG
LUCENE-1098,IMPROVEMENT,IMPROVEMENT
LUCENE-1099,DESIGN_DEFECT,IMPROVEMENT
LUCENE-1101,BUG,BUG
LUCENE-1102,IMPROVEMENT,IMPROVEMENT
LUCENE-1103,RFE,IMPROVEMENT
LUCENE-1104,OTHER,TASK
LUCENE-1107,OTHER,TASK
LUCENE-1112,IMPROVEMENT,BUG
LUCENE-1113,DOCUMENTATION,BUG
LUCENE-1114,DOCUMENTATION,BUG
LUCENE-1115,IMPROVEMENT,BUG
LUCENE-1116,IMPROVEMENT,IMPROVEMENT
LUCENE-1117,BUG,BUG
LUCENE-1118,IMPROVEMENT,IMPROVEMENT
LUCENE-1119,IMPROVEMENT,IMPROVEMENT
LUCENE-1120,IMPROVEMENT,IMPROVEMENT
LUCENE-1123,BUILD_SYSTEM,TASK
LUCENE-1124,IMPROVEMENT,IMPROVEMENT
LUCENE-1125,IMPROVEMENT,BUG
LUCENE-1126,IMPROVEMENT,IMPROVEMENT
LUCENE-1127,RFE,IMPROVEMENT
LUCENE-1128,RFE,IMPROVEMENT
LUCENE-1129,BUG,BUG
LUCENE-1130,IMPROVEMENT,BUG
LUCENE-1131,RFE,RFE
LUCENE-1132,DOCUMENTATION,BUG
LUCENE-1133,RFE,IMPROVEMENT
LUCENE-1134,BUG,BUG
LUCENE-1135,DOCUMENTATION,TASK
LUCENE-1136,RFE,IMPROVEMENT
LUCENE-1137,RFE,RFE
LUCENE-1138,BUG,BUG
LUCENE-1139,IMPROVEMENT,IMPROVEMENT
LUCENE-1140,BUG,BUG
LUCENE-1142,BUILD_SYSTEM,IMPROVEMENT
LUCENE-1143,BUG,BUG
LUCENE-1144,BUG,BUG
LUCENE-1145,IMPROVEMENT,IMPROVEMENT
LUCENE-1147,RFE,IMPROVEMENT
LUCENE-1148,RFE,RFE
LUCENE-1150,DESIGN_DEFECT,BUG
LUCENE-1151,IMPROVEMENT,IMPROVEMENT
LUCENE-1152,BUG,BUG
LUCENE-1153,BUILD_SYSTEM,BUG
LUCENE-1154,DOCUMENTATION,BUG
LUCENE-1156,RFE,BUG
LUCENE-1157,DOCUMENTATION,IMPROVEMENT
LUCENE-1158,BUG,BUG
LUCENE-1160,IMPROVEMENT,IMPROVEMENT
LUCENE-1162,DESIGN_DEFECT,IMPROVEMENT
LUCENE-1163,BUG,BUG
LUCENE-1164,IMPROVEMENT,BUG
LUCENE-1165,DOCUMENTATION,IMPROVEMENT
LUCENE-1166,RFE,RFE
LUCENE-1168,BUG,BUG
LUCENE-1169,BUG,BUG
LUCENE-1171,IMPROVEMENT,BUG
LUCENE-1172,IMPROVEMENT,IMPROVEMENT
LUCENE-1173,BUG,BUG
LUCENE-1174,DOCUMENTATION,BUG
LUCENE-1175,BUG,BUG
LUCENE-1176,BUG,BUG
LUCENE-1177,BUG,BUG
LUCENE-1179,BUG,BUG
LUCENE-1180,BUG,BUG
LUCENE-1182,DESIGN_DEFECT,BUG
LUCENE-1183,IMPROVEMENT,IMPROVEMENT
LUCENE-1184,RFE,IMPROVEMENT
LUCENE-1185,IMPROVEMENT,IMPROVEMENT
LUCENE-1186,IMPROVEMENT,IMPROVEMENT
LUCENE-1187,CLEANUP,IMPROVEMENT
LUCENE-1188,IMPROVEMENT,IMPROVEMENT
LUCENE-1189,BUG,BUG
LUCENE-1191,IMPROVEMENT,IMPROVEMENT
LUCENE-1194,RFE,RFE
LUCENE-1195,IMPROVEMENT,IMPROVEMENT
LUCENE-1196,BUG,BUG
LUCENE-1197,BUG,BUG
LUCENE-1198,BUG,BUG
LUCENE-1199,BUG,BUG
LUCENE-1200,BUG,BUG
LUCENE-1201,RFE,RFE
LUCENE-1202,BUILD_SYSTEM,BUG
LUCENE-1204,TEST,BUG
LUCENE-1208,BUG,BUG
LUCENE-1209,RFE,IMPROVEMENT
LUCENE-1210,BUG,BUG
LUCENE-1211,IMPROVEMENT,BUG
LUCENE-1212,REFACTORING,IMPROVEMENT
LUCENE-1213,BUG,BUG
LUCENE-1214,BUG,BUG
LUCENE-1217,IMPROVEMENT,IMPROVEMENT
LUCENE-1219,RFE,IMPROVEMENT
LUCENE-1222,BUG,BUG
LUCENE-1223,BUG,BUG
LUCENE-1226,BUG,BUG
LUCENE-1228,BUG,BUG
LUCENE-1230,BUILD_SYSTEM,BUG
LUCENE-1233,DESIGN_DEFECT,IMPROVEMENT
LUCENE-1234,DESIGN_DEFECT,BUG
LUCENE-1236,DOCUMENTATION,IMPROVEMENT
LUCENE-1238,TEST,BUG
LUCENE-1240,IMPROVEMENT,IMPROVEMENT
LUCENE-1242,IMPROVEMENT,IMPROVEMENT
LUCENE-1243,RFE,IMPROVEMENT
LUCENE-1244,IMPROVEMENT,IMPROVEMENT
LUCENE-1246,BUG,BUG
LUCENE-1247,CLEANUP,IMPROVEMENT
LUCENE-1249,BUG,BUG
LUCENE-1250,BUG,BUG
LUCENE-1251,BUG,BUG
LUCENE-1253,IMPROVEMENT,BUG
LUCENE-1254,BUG,BUG
LUCENE-1255,BUG,BUG
LUCENE-1256,DOCUMENTATION,IMPROVEMENT
LUCENE-1257,OTHER,IMPROVEMENT
LUCENE-1260,RFE,IMPROVEMENT
LUCENE-1262,BUG,BUG
LUCENE-1266,BUG,BUG
LUCENE-1267,RFE,IMPROVEMENT
LUCENE-1268,DOCUMENTATION,IMPROVEMENT
LUCENE-1270,BUG,BUG
LUCENE-1272,RFE,RFE
LUCENE-1274,RFE,RFE
LUCENE-1276,BUILD_SYSTEM,BUG
LUCENE-1277,CLEANUP,BUG
LUCENE-1279,IMPROVEMENT,IMPROVEMENT
LUCENE-1280,BUG,BUG
LUCENE-1282,IMPROVEMENT,BUG
LUCENE-1283,REFACTORING,IMPROVEMENT
LUCENE-1285,BUG,BUG
LUCENE-1286,RFE,IMPROVEMENT
LUCENE-1287,RFE,RFE
LUCENE-1288,RFE,IMPROVEMENT
LUCENE-1294,BUILD_SYSTEM,BUG
LUCENE-1295,REFACTORING,IMPROVEMENT
LUCENE-1296,RFE,RFE
LUCENE-1297,RFE,RFE
LUCENE-1298,BUG,BUG
LUCENE-1299,BUG,BUG
LUCENE-1301,REFACTORING,IMPROVEMENT
LUCENE-1303,BUG,BUG
LUCENE-1310,BUG,BUG
LUCENE-1311,RFE,RFE
LUCENE-1312,BUG,BUG
LUCENE-1314,RFE,RFE
LUCENE-1316,IMPROVEMENT,BUG
LUCENE-1318,BUG,BUG
LUCENE-1320,RFE,RFE
LUCENE-1321,BUG,BUG
LUCENE-1322,IMPROVEMENT,IMPROVEMENT
LUCENE-1323,BUG,BUG
LUCENE-1324,RFE,BUG
LUCENE-1325,RFE,IMPROVEMENT
LUCENE-1326,BUG,BUG
LUCENE-1327,BUG,BUG
LUCENE-1329,IMPROVEMENT,IMPROVEMENT
LUCENE-1331,BUG,BUG
LUCENE-1333,IMPROVEMENT,IMPROVEMENT
LUCENE-1334,RFE,IMPROVEMENT
LUCENE-1335,IMPROVEMENT,BUG
LUCENE-1339,RFE,RFE
LUCENE-1340,RFE,RFE
LUCENE-1341,RFE,IMPROVEMENT
LUCENE-1343,IMPROVEMENT,IMPROVEMENT
LUCENE-1344,BUILD_SYSTEM,IMPROVEMENT
LUCENE-1346,IMPROVEMENT,IMPROVEMENT
LUCENE-1347,BUG,BUG
LUCENE-1348,TEST,TEST
LUCENE-1349,DOCUMENTATION,BUG
LUCENE-1351,RFE,IMPROVEMENT
LUCENE-1353,BUILD_SYSTEM,TASK
LUCENE-1354,RFE,RFE
LUCENE-1355,BUG,BUG
LUCENE-1356,RFE,IMPROVEMENT
LUCENE-1357,BUG,BUG
LUCENE-1358,BUG,BUG
LUCENE-1359,BUG,BUG
LUCENE-1365,DOCUMENTATION,IMPROVEMENT
LUCENE-1366,REFACTORING,IMPROVEMENT
LUCENE-1367,RFE,IMPROVEMENT
LUCENE-1369,IMPROVEMENT,IMPROVEMENT
LUCENE-1370,RFE,IMPROVEMENT
LUCENE-1371,RFE,IMPROVEMENT
LUCENE-1374,BUG,BUG
LUCENE-1375,RFE,IMPROVEMENT
LUCENE-1376,BUG,BUG
LUCENE-1377,REFACTORING,IMPROVEMENT
LUCENE-1378,DOCUMENTATION,TASK
LUCENE-1379,BUG,BUG
LUCENE-1380,RFE,IMPROVEMENT
LUCENE-1382,RFE,IMPROVEMENT
LUCENE-1383,IMPROVEMENT,BUG
LUCENE-1384,BUG,BUG
LUCENE-1387,RFE,RFE
LUCENE-1388,RFE,IMPROVEMENT
LUCENE-1389,BUG,BUG
