ID,CLASSIFIED,TYPE
433878,BUG,BUG
310323,RFE,RFE
519933,RFE,BUG
190841,DESIGN_DEFECT,BUG
243057,RFE,RFE
271545,BUG,BUG
230883,BUG,BUG
114491,BUG,BUG
314163,DESIGN_DEFECT,BUG
530997,CLEANUP,BUG
205661,DESIGN_DEFECT,BUG
255595,DESIGN_DEFECT,RFE
399958,IMPROVEMENT,BUG
340682,DESIGN_DEFECT,BUG
561514,BUG,BUG
461168,SPEC,BUG
404484,BUG,BUG
660798,IMPROVEMENT,BUG
405654,IMPROVEMENT,BUG
264637,IMPROVEMENT,RFE
510443,RFE,BUG
258207,CLEANUP,BUG
492359,BUG,BUG
413838,BUG,BUG
472246,IMPROVEMENT,BUG
400031,BUG,BUG
258419,BUG,BUG
49325,BUG,BUG
353501,TEST,BUG
254778,RFE,BUG
513549,BUG,BUG
411539,TEST,BUG
684131,BUG,BUG
726116,CLEANUP,BUG
391350,BUG,BUG
185165,BUG,BUG
396117,SPEC,BUG
263934,BUG,BUG
508547,BUG,BUG
198208,CLEANUP,RFE
191276,BUG,BUG
397035,SPEC,BUG
288027,DESIGN_DEFECT,BUG
660799,IMPROVEMENT,BUG
359359,BUG,BUG
305753,BUG,BUG
281247,IMPROVEMENT,RFE
252122,CLEANUP,BUG
286251,BUG,BUG
358058,BUG,BUG
404817,BUG,BUG
309957,BUG,BUG
33239,BUG,BUG
527452,BUG,BUG
205297,BUG,BUG
401561,BUG,BUG
306308,DESIGN_DEFECT,RFE
258958,BUG,BUG
238649,CLEANUP,BUG
219055,IMPROVEMENT,RFE
688458,IMPROVEMENT,BUG
213231,BUG,BUG
258417,BUG,BUG
373897,DESIGN_DEFECT,BUG
49350,BUG,BUG
39906,BUG,BUG
78706,SPEC,BUG
565361,BUG,BUG
361574,CLEANUP,BUG
507069,SPEC,RFE
533920,BUG,BUG
419940,BUG,BUG
383356,CLEANUP,BUG
695354,BUG,BUG
619296,DESIGN_DEFECT,BUG
253323,BUG,BUG
257425,DESIGN_DEFECT,BUG
505524,RFE,RFE
291937,BUG,BUG
598706,DESIGN_DEFECT,BUG
457705,IMPROVEMENT,BUG
392308,DESIGN_DEFECT,BUG
217379,BUG,BUG
262687,BUG,BUG
397882,SPEC,BUG
303572,DESIGN_DEFECT,RFE
149285,BUG,BUG
202872,CLEANUP,RFE
382457,RFE,BUG
38590,BUG,BUG
378790,RFE,RFE
207999,DESIGN_DEFECT,BUG
402331,BUG,BUG
494665,DESIGN_DEFECT,BUG
166530,BUG,BUG
355677,DESIGN_DEFECT,RFE
392593,DESIGN_DEFECT,BUG
353493,IMPROVEMENT,BUG
129365,CLEANUP,BUG
72921,DESIGN_DEFECT,BUG
515419,DESIGN_DEFECT,BUG
531374,BUG,BUG
80322,BUG,BUG
103859,BUG,BUG
181834,BUG,BUG
264369,BUG,BUG
434031,BUG,BUG
203013,DESIGN_DEFECT,RFE
277767,BUG,BUG
664523,CLEANUP,BUG
324006,BUG,BUG
197682,IMPROVEMENT,BUG
306258,BUG,BUG
179068,IMPROVEMENT,BUG
96270,BUG,BUG
463111,BUG,BUG
448816,RFE,BUG
418034,IMPROVEMENT,BUG
189898,BUG,BUG
334900,BUG,BUG
360964,IMPROVEMENT,BUG
220584,BUG,BUG
245882,DESIGN_DEFECT,RFE
545400,BUG,BUG
508185,SPEC,RFE
468580,REFACTORING,BUG
531600,BUG,BUG
217268,BUG,BUG
586062,CLEANUP,RFE
557817,BUG,BUG
464898,TEST,BUG
193700,CLEANUP,BUG
200551,BUG,BUG
428920,BUG,BUG
126317,BUG,BUG
508557,BUG,BUG
506436,SPEC,RFE
454969,BUG,BUG
352319,DESIGN_DEFECT,BUG
191633,IMPROVEMENT,BUG
414553,BUG,BUG
153223,RFE,BUG
421071,IMPROVEMENT,BUG
520545,RFE,BUG
582654,CLEANUP,BUG
456389,RFE,BUG
193168,BUG,BUG
24023,BUG,BUG
226517,BUG,BUG
299539,BUG,BUG
482203,BUG,BUG
392825,DESIGN_DEFECT,BUG
535977,CLEANUP,BUG
410725,TEST,BUG
379379,SPEC,BUG
280047,DESIGN_DEFECT,RFE
528766,SPEC,BUG
416127,CLEANUP,BUG
460727,RFE,BUG
249471,BUG,BUG
233274,BUG,BUG
508795,SPEC,BUG
217584,RFE,RFE
237771,DESIGN_DEFECT,BUG
375682,BUG,BUG
519692,BUG,BUG
256339,IMPROVEMENT,RFE
381819,TEST,BUG
214594,BUG,BUG
226045,BUG,BUG
389278,BUG,BUG
256691,BUG,BUG
282595,DESIGN_DEFECT,RFE
45928,DESIGN_DEFECT,BUG
256865,IMPROVEMENT,RFE
114969,BUG,BUG
201893,IMPROVEMENT,RFE
184111,BUG,BUG
700651,BUG,BUG
686822,BUG,BUG
623246,BUG,BUG
454505,RFE,RFE
399347,IMPROVEMENT,BUG
26454,IMPROVEMENT,BUG
568224,BUG,BUG
376632,CLEANUP,BUG
255549,BUG,BUG
414984,BUG,BUG
282617,DESIGN_DEFECT,BUG
442922,DESIGN_DEFECT,BUG
114583,BUG,BUG
391349,BUG,BUG
244014,IMPROVEMENT,RFE
473185,BUG,BUG
102093,DESIGN_DEFECT,BUG
508771,IMPROVEMENT,BUG
359411,DESIGN_DEFECT,BUG
126722,BUG,BUG
271401,IMPROVEMENT,RFE
441417,BUG,BUG
549604,CLEANUP,RFE
403604,IMPROVEMENT,BUG
169830,BUG,BUG
64149,SPEC,BUG
151337,BUG,BUG
256621,SPEC,BUG
210605,DESIGN_DEFECT,BUG
637587,DESIGN_DEFECT,BUG
470631,IMPROVEMENT,BUG
58118,SPEC,BUG
198086,IMPROVEMENT,RFE
280629,BUG,BUG
277537,BUG,BUG
23609,BUG,BUG
368452,RFE,RFE
419491,CLEANUP,BUG
466661,BUG,BUG
379104,BUG,BUG
193555,BUG,BUG
412247,RFE,RFE
474310,BUG,BUG
304451,BUG,BUG
318305,BUG,BUG
548857,BUG,BUG
291930,BUG,BUG
225817,RFE,RFE
201896,IMPROVEMENT,RFE
194364,SPEC,BUG
266418,DESIGN_DEFECT,BUG
123439,BUG,BUG
40688,BUG,BUG
215923,BUG,BUG
258959,DESIGN_DEFECT,RFE
31639,BUG,BUG
217346,BUG,BUG
500199,RFE,BUG
463867,IMPROVEMENT,RFE
489329,RFE,BUG
204576,BUG,BUG
56158,SPEC,BUG
519939,RFE,RFE
196017,BUG,BUG
256387,RFE,RFE
68084,BUG,BUG
463875,CLEANUP,RFE
256836,RFE,RFE
716562,BUG,BUG
291927,BUG,BUG
203752,DESIGN_DEFECT,BUG
213279,BUG,BUG
48930,BUG,BUG
357819,OTHER,RFE
411895,IMPROVEMENT,BUG
686797,RFE,BUG
367385,BUG,BUG
686803,CLEANUP,BUG
214945,BUG,BUG
223451,DESIGN_DEFECT,BUG
57045,BUG,BUG
492538,TEST,RFE
256321,BUG,BUG
236193,IMPROVEMENT,BUG
218440,DESIGN_DEFECT,BUG
159334,BUG,BUG
306419,DESIGN_DEFECT,RFE
374918,BUG,BUG
263978,BUG,BUG
120194,SPEC,BUG
225366,BUG,BUG
290034,DESIGN_DEFECT,BUG
212395,BUG,BUG
262447,BUG,BUG
329257,BUG,BUG
