ID,CLASSIFIED,TYPE
12381,BUG,BUG
34840,OTHER,BUG
39844,BUG,BUG
52677,DESIGN_DEFECT,BUG
21010,BUG,BUG
13723,OTHER,BUG
39619,BUG,BUG
41074,BUG,BUG
33711,IMPROVEMENT,BUG
22266,RFE,RFE
14273,BUG,BUG
17061,RFE,BUG
38653,IMPROVEMENT,BUG
27077,BUG,BUG
32282,IMPROVEMENT,BUG
30615,BUG,BUG
37742,DOCUMENTATION,BUG
34361,BUILD_SYSTEM,RFE
39581,BUG,BUG
39125,BUG,BUG
29971,BUG,BUG
38579,OTHER,BUG
15966,BUG,BUG
37746,BUG,BUG
33219,IMPROVEMENT,RFE
37803,BUG,BUG
45272,BUG,BUG
39813,BUG,BUG
41824,BUG,BUG
32532,DOCUMENTATION,BUG
12638,BUG,BUG
51042,BUG,BUG
40518,IMPROVEMENT,BUG
26796,BUG,BUG
23953,BUG,BUG
39130,BUG,BUG
38984,BUG,BUG
37819,BUILD_SYSTEM,BUG
43578,BUG,BUG
28840,BUG,BUG
13000,BUG,BUG
45255,RFE,RFE
39865,IMPROVEMENT,BUG
12456,BUG,BUG
28524,IMPROVEMENT,BUG
45985,BUG,BUG
39540,DOCUMENTATION,RFE
26191,BUG,BUG
28875,BUG,BUG
32898,BUG,BUG
25555,DOCUMENTATION,BUG
31364,BUG,BUG
30117,BUG,BUG
16127,BUG,BUG
11884,BUG,BUG
40741,OTHER,BUG
34113,BUG,BUG
40823,DOCUMENTATION,BUG
27447,BUG,BUG
12594,BUG,BUG
43129,RFE,RFE
36866,REFACTORING,BUG
31549,IMPROVEMENT,BUG
21970,BUG,BUG
22986,BUG,BUG
43995,IMPROVEMENT,BUG
17059,IMPROVEMENT,BUG
36019,IMPROVEMENT,BUG
34033,BUG,BUG
21419,BUG,BUG
36580,BUG,BUG
44382,RFE,RFE
15771,BUG,BUG
14854,RFE,RFE
37449,RFE,RFE
17435,BUG,BUG
30936,IMPROVEMENT,BUG
37212,IMPROVEMENT,BUG
39218,IMPROVEMENT,RFE
44562,DESIGN_DEFECT,BUG
47464,OTHER,BUG
34131,BUG,BUG
34248,DOCUMENTATION,BUG
31065,BUG,BUG
34578,OTHER,BUG
36020,IMPROVEMENT,RFE
34931,TASK,BUG
40133,IMPROVEMENT,BUG
25703,BUG,BUG
16027,IMPROVEMENT,BUG
27330,BUG,BUG
28603,BUG,BUG
24482,DOCUMENTATION,BUG
30803,BUG,BUG
32276,DOCUMENTATION,RFE
39406,BUG,BUG
39933,BUG,BUG
35270,BUG,BUG
50550,BUG,BUG
42899,BUG,BUG
17787,BUG,BUG
48997,DOCUMENTATION,RFE
41752,IMPROVEMENT,BUG
17492,BUG,BUG
12088,BUG,BUG
29056,BUG,BUG
31663,BUG,BUG
17310,BUG,BUG
42390,BUG,BUG
38483,BUG,BUG
40960,BUG,BUG
41869,BUG,BUG
28937,IMPROVEMENT,BUG
21600,BUG,BUG
41502,DOCUMENTATION,BUG
38788,OTHER,BUG
41407,BUG,BUG
35320,DOCUMENTATION,BUG
33767,DOCUMENTATION,BUG
29100,BUG,BUG
25603,BUG,BUG
29133,BUG,BUG
49521,BUG,BUG
37172,IMPROVEMENT,BUG
30587,DOCUMENTATION,BUG
30144,IMPROVEMENT,RFE
37439,DOCUMENTATION,BUG
33033,BUG,BUG
15411,BUG,BUG
28910,DOCUMENTATION,BUG
16078,BUG,BUG
19076,BUG,BUG
32081,IMPROVEMENT,BUG
30028,IMPROVEMENT,BUG
34746,DOCUMENTATION,BUG
31707,BUG,BUG
40817,BUG,BUG
28380,BUG,BUG
15937,IMPROVEMENT,BUG
40633,DOCUMENTATION,BUG
42025,DOCUMENTATION,BUG
38761,OTHER,BUG
30762,BUG,BUG
40418,OTHER,BUG
30770,BUG,BUG
49424,BUG,BUG
19031,BUG,BUG
37171,DOCUMENTATION,BUG
11742,BUG,BUG
35054,IMPROVEMENT,RFE
35968,BUG,BUG
22439,BUG,BUG
12282,BUG,BUG
37673,BUG,BUG
37498,BUG,BUG
