With Discussion,NumberOfTopics,Precision_F,Recall_F,F-Measure_F,Precision_B,Recall_B,F-Measure_B,Precision_W,Recall_W,F-Measure_W,,
Httpclient,10,0.703,0.786,0.742,0.628,0.521,0.57,0.673,0.678,0.672,,F = Feature/Other requests
,20,0.712,0.836,0.769,0.684,0.511,0.585,0.701,0.703,0.694,,B = Bug
,30,0.77,0.77,0.77,0.669,0.669,0.669,0.729,0.729,0.729,,W = Weighted
,40,0.717,0.773,0.744,0.631,0.561,0.594,0.682,0.686,0.682,,
,50,0.751,0.793,0.771,0.675,0.62,0.646,0.72,0.722,0.72,,
,60,0.758,0.795,0.776,0.682,0.633,0.656,0.727,0.729,0.727,,
,70,0.746,0.741,0.743,0.63,0.636,0.633,0.698,0.698,0.698,,
,80,0.762,0.766,0.764,0.66,0.656,0.658,0.721,0.721,0.721,,
,90,0.736,0.741,0.738,0.623,0.616,0.619,0.689,0.69,0.69,,
,100,0.761,0.718,0.739,0.624,0.675,0.649,0.705,0.701,0.702,,
,110,0.71,0.745,0.727,0.604,0.561,0.582,0.667,0.67,0.668,,
,120,0.767,0.755,0.761,0.654,0.669,0.661,0.721,0.719,0.72,,
,130,0.749,0.677,0.711,0.591,0.672,0.629,0.684,0.675,0.677,,
,140,0.718,0.764,0.74,0.625,0.567,0.595,0.68,0.683,0.68,,
,150,0.713,0.841,0.772,0.69,0.511,0.588,0.704,0.706,0.696,,
Jackrabbit,10,0.684,0.878,0.769,0.66,0.368,0.472,0.675,0.679,0.653,,
,20,0.713,0.824,0.765,0.638,0.482,0.549,0.683,0.691,0.68,,
,30,0.734,0.856,0.79,0.696,0.515,0.592,0.719,0.723,0.713,,
,40,0.747,0.799,0.772,0.648,0.578,0.611,0.709,0.713,0.709,,
,50,0.743,0.829,0.784,0.674,0.553,0.608,0.716,0.721,0.715,,
,60,0.749,0.738,0.743,0.6,0.614,0.607,0.691,0.689,0.69,,
,70,0.757,0.798,0.777,0.655,0.6,0.627,0.717,0.721,0.718,,
,80,0.76,0.765,0.763,0.63,0.624,0.627,0.709,0.71,0.71,,
,90,0.777,0.738,0.757,0.621,0.668,0.644,0.716,0.711,0.713,,
,100,0.712,0.847,0.774,0.661,0.465,0.546,0.692,0.698,0.685,,
,110,0.73,0.792,0.76,0.626,0.543,0.581,0.689,0.695,0.69,,
,120,0.795,0.665,0.724,0.583,0.732,0.649,0.712,0.691,0.695,,
,130,0.78,0.704,0.74,0.599,0.691,0.642,0.71,0.699,0.702,,
,140,0.76,0.723,0.741,0.598,0.643,0.62,0.697,0.692,0.694,,
,150,0.709,0.861,0.777,0.673,0.448,0.538,0.695,0.699,0.684,,
Lucene,10,0.765,0.93,0.84,0.62,0.286,0.391,0.724,0.746,0.712,,
,20,0.804,0.865,0.834,0.583,0.472,0.522,0.741,0.753,0.745,,
,30,0.825,0.882,0.852,0.642,0.531,0.581,0.773,0.782,0.775,,
,40,0.843,0.884,0.863,0.668,0.587,0.625,0.793,0.799,0.795,,
,50,0.854,0.882,0.868,0.678,0.623,0.649,0.804,0.808,0.805,,
,60,0.837,0.88,0.858,0.656,0.571,0.61,0.785,0.792,0.787,,
,70,0.844,0.89,0.866,0.681,0.587,0.63,0.797,0.804,0.799,,
,80,0.806,0.883,0.843,0.615,0.468,0.531,0.752,0.765,0.754,,
,90,0.826,0.853,0.839,0.599,0.551,0.574,0.761,0.767,0.764,,
,100,0.828,0.896,0.861,0.673,0.535,0.596,0.784,0.793,0.786,,
,110,0.838,0.893,0.865,0.679,0.568,0.619,0.793,0.8,0.795,,
,120,0.827,0.904,0.864,0.687,0.527,0.596,0.787,0.797,0.788,,
,130,0.832,0.887,0.859,0.661,0.551,0.601,0.783,0.791,0.785,,
,140,0.811,0.907,0.856,0.667,0.469,0.551,0.77,0.782,0.769,,
,150,0.836,0.869,0.852,0.636,0.574,0.603,0.779,0.785,0.781,,
,,,,,,,,,,,,
