With Discussion,NumberOfTopics,Precision_F,Recall_F,F-Measure_F,Precision_B,Recall_B,F-Measure_B,Precision_W,Recall_W,F-Measure_W,,
Httpclient,10,0.685,0.814,0.744,0.631,0.459,0.531,0.662,0.668,0.657,,F = Feature/Other requests
,20,0.729,0.766,0.747,0.636,0.59,0.612,0.691,0.694,0.692,,B = Bug
,30,0.735,0.761,0.748,0.637,0.603,0.62,0.695,0.697,0.695,,W = Weighted
,40,0.733,0.757,0.745,0.632,0.603,0.617,0.692,0.694,0.693,,
,50,0.722,0.786,0.753,0.647,0.564,0.602,0.691,0.695,0.691,,
,60,0.706,0.759,0.732,0.61,0.544,0.575,0.667,0.671,0.668,,
,70,0.736,0.723,0.729,0.61,0.626,0.618,0.685,0.683,0.684,,
,80,0.744,0.784,0.763,0.662,0.61,0.635,0.71,0.713,0.711,,
,90,0.721,0.745,0.733,0.614,0.584,0.598,0.677,0.679,0.678,,
,100,0.729,0.777,0.752,0.645,0.584,0.613,0.695,0.698,0.695,,
,110,0.712,0.766,0.738,0.621,0.554,0.586,0.675,0.679,0.676,,
,120,0.722,0.743,0.732,0.613,0.587,0.6,0.677,0.679,0.678,,
,130,0.714,0.759,0.736,0.617,0.561,0.588,0.674,0.678,0.675,,
,140,0.737,0.725,0.731,0.612,0.626,0.619,0.686,0.685,0.685,,
,150,0.694,0.716,0.705,0.57,0.544,0.557,0.643,0.646,0.644,,
Jackrabbit,10,0.694,0.814,0.749,0.603,0.441,0.51,0.659,0.668,0.656,,
,20,0.719,0.8,0.757,0.621,0.513,0.562,0.681,0.688,0.681,,
,30,0.734,0.796,0.764,0.633,0.549,0.588,0.695,0.7,0.695,,
,40,0.738,0.792,0.764,0.633,0.561,0.595,0.697,0.701,0.698,,
,50,0.756,0.796,0.776,0.653,0.599,0.625,0.716,0.719,0.717,,
,60,0.735,0.787,0.76,0.626,0.558,0.59,0.693,0.697,0.694,,
,70,0.758,0.803,0.78,0.661,0.6,0.629,0.72,0.724,0.721,,
,80,0.75,0.801,0.775,0.652,0.584,0.616,0.712,0.716,0.713,,
,90,0.763,0.816,0.789,0.678,0.604,0.639,0.73,0.734,0.73,,
,100,0.773,0.794,0.783,0.664,0.635,0.65,0.73,0.732,0.731,,
,110,0.751,0.796,0.773,0.649,0.588,0.617,0.711,0.715,0.712,,
,120,0.759,0.802,0.78,0.661,0.603,0.631,0.721,0.724,0.722,,
,130,0.756,0.81,0.782,0.667,0.593,0.628,0.721,0.725,0.722,,
,140,0.76,0.798,0.779,0.658,0.608,0.632,0.72,0.724,0.721,,
,150,0.755,0.803,0.778,0.658,0.594,0.624,0.717,0.721,0.718,,
Lucene,10,0.761,0.95,0.845,0.67,0.254,0.368,0.735,0.752,0.709,,
,20,0.796,0.886,0.839,0.602,0.432,0.503,0.741,0.756,0.743,,
,30,0.819,0.891,0.853,0.649,0.505,0.568,0.77,0.781,0.772,,
,40,0.835,0.876,0.855,0.646,0.567,0.604,0.781,0.788,0.784,,
,50,0.845,0.867,0.856,0.644,0.601,0.622,0.787,0.791,0.789,,
,60,0.834,0.872,0.853,0.638,0.564,0.599,0.778,0.784,0.78,,
,70,0.826,0.869,0.847,0.622,0.541,0.579,0.768,0.775,0.77,,
,80,0.801,0.873,0.835,0.589,0.455,0.513,0.74,0.754,0.744,,
,90,0.813,0.864,0.838,0.596,0.504,0.546,0.751,0.761,0.754,,
,100,0.825,0.888,0.856,0.654,0.529,0.585,0.777,0.786,0.779,,
,110,0.836,0.903,0.868,0.695,0.555,0.617,0.795,0.804,0.796,,
,120,0.83,0.871,0.85,0.63,0.552,0.589,0.773,0.78,0.775,,
,130,0.83,0.887,0.857,0.657,0.544,0.595,0.78,0.789,0.782,,
,140,0.823,0.877,0.849,0.631,0.528,0.575,0.768,0.777,0.771,,
,150,0.829,0.892,0.859,0.666,0.538,0.595,0.782,0.791,0.784,,
,,,,,,,,,,,,
