With Discussion,NumberOfTopics,Precision_F,Recall_F,F-Measure_F,Precision_B,Recall_B,F-Measure_B,Precision_W,Recall_W,F-Measure_W,,
Httpclient,10,0.731,0.809,0.768,0.674,0.57,0.618,0.708,0.711,0.707,,F = Feature/Other requests
,20,0.747,0.818,0.781,0.696,0.6,0.644,0.726,0.729,0.725,,B = Bug
,30,0.767,0.773,0.77,0.669,0.662,0.666,0.727,0.728,0.727,,W = Weighted
,40,0.781,0.809,0.795,0.709,0.672,0.69,0.751,0.753,0.752,,
,50,0.762,0.78,0.771,0.671,0.649,0.66,0.725,0.726,0.725,,
,60,0.757,0.784,0.77,0.671,0.636,0.653,0.722,0.723,0.722,,
,70,0.738,0.768,0.753,0.645,0.607,0.625,0.7,0.702,0.7,,
,80,0.784,0.775,0.779,0.681,0.692,0.686,0.742,0.741,0.741,,
,90,0.742,0.773,0.757,0.652,0.613,0.632,0.705,0.707,0.706,,
,100,0.752,0.777,0.764,0.662,0.63,0.645,0.715,0.717,0.716,,
,110,0.731,0.761,0.746,0.634,0.597,0.615,0.692,0.694,0.692,,
,120,0.766,0.775,0.771,0.67,0.659,0.664,0.727,0.728,0.727,,
,130,0.721,0.752,0.736,0.619,0.58,0.599,0.679,0.682,0.68,,
,140,0.721,0.741,0.731,0.611,0.587,0.599,0.676,0.678,0.677,,
,150,0.734,0.734,0.734,0.616,0.616,0.616,0.686,0.686,0.686,,
Jackrabbit,10,0.692,0.875,0.773,0.668,0.392,0.494,0.683,0.687,0.664,,
,20,0.744,0.817,0.779,0.663,0.562,0.608,0.712,0.717,0.712,,
,30,0.759,0.821,0.789,0.68,0.594,0.634,0.728,0.732,0.728,,
,40,0.758,0.824,0.79,0.682,0.59,0.632,0.728,0.732,0.728,,
,50,0.79,0.835,0.812,0.717,0.654,0.684,0.761,0.764,0.762,,
,60,0.775,0.818,0.796,0.689,0.629,0.658,0.741,0.744,0.742,,
,70,0.786,0.818,0.802,0.697,0.654,0.674,0.751,0.754,0.752,,
,80,0.782,0.829,0.805,0.706,0.64,0.671,0.752,0.755,0.753,,
,90,0.791,0.824,0.807,0.707,0.66,0.682,0.758     0.76      0.759,,,,
,100,0.794,0.839,0.816,0.724,0.66,0.69,0.767,0.769,0.767,,
,110,0.781,0.836,0.808,0.713,0.634,0.671,0.754,0.757,0.754,,
,120,0.789,0.824,0.806,0.705,0.656,0.68,0.756,0.759,0.757,,
,130,0.793,0.831,0.812,0.715,0.661,0.687,0.762,0.765,0.763,,
,140,0.796,0.827,0.811,0.712,0.668,0.689,0.763,0.765,0.763,,
,150,0.792,0.826,0.808,0.709,0.661,0.684,0.759,0.761,0.76,,
Lucene,10,0.771,0.938,0.846,0.659,0.303,0.415,0.739,0.756,0.723,,
,20,0.807,0.896,0.849,0.64,0.462,0.537,0.759,0.772,0.76,,
,30,0.821,0.891,0.854,0.653,0.512,0.574,0.773,0.783,0.774,,
,40,0.843,0.89,0.866,0.68,0.585,0.629,0.797,0.803,0.798,,
,50,0.85,0.886,0.867,0.68,0.607,0.641,0.801,0.806,0.803,,
,60,0.846,0.897,0.871,0.697,0.59,0.639,0.803,0.81,0.805,,
,70,0.848,0.893,0.87,0.692,0.598,0.642,0.803,0.809,0.805,,
,80,0.834,0.895,0.863,0.678,0.552,0.609,0.789,0.797,0.791,,
,90,0.835,0.895,0.864,0.678,0.557,0.612,0.79,0.798,0.792,,
,100,0.848,0.903,0.875,0.709,0.595,0.647,0.809,0.815,0.81,,
,110,0.856,0.904,0.879,0.721,0.618,0.666,0.817,0.823,0.818,,
,120,0.844,0.896,0.869,0.692,0.587,0.635,0.801,0.808,0.803,,
,130,0.843,0.895,0.868,0.688,0.581,0.63,0.798,0.805,0.8,,
,140,0.848,0.892,0.869,0.689,0.598,0.641,0.802,0.808,0.804,,
,150,0.851,0.89,0.87,0.689,0.61,0.647,0.805,0.81,0.806,,
,,,,,,,,,,,,
