With Discussion,NumberOfTopics,Precision_F,Recall_F,F-Measure_F,Precision_B,Recall_B,F-Measure_B,Precision_W,Recall_W,F-Measure_W,,
Httpclient,10,0.703,0.85,0.77,0.69,0.482,0.568,0.698,0.699,0.687,,F = Feature/Other requests
,20,0.749,0.782,0.765,0.664,0.623,0.643,0.715,0.717,0.715,,B = Bug
,30,0.769,0.72,0.744,0.631,0.689,0.658,0.713,0.707,0.709,,W = Weighted
,40,0.779,0.723,0.75,0.638,0.705,0.67,0.722,0.715,0.717,,
,50,0.82,0.716,0.765,0.654,0.774,0.709,0.752,0.74,0.742,,
,60,0.798,0.7,0.746,0.632,0.744,0.684,0.73,0.718,0.72,,
,70,0.769,0.705,0.735,0.62,0.695,0.655,0.708,0.701,0.703,,
,80,0.797,0.723,0.758,0.647,0.734,0.688,0.736,0.728,0.729,,
,90,0.77,0.748,0.759,0.651,0.679,0.665,0.722,0.719,0.72,,
,100,0.77,0.748,0.759,0.651,0.679,0.665,0.722,0.719,0.72,,
,110,0.777,0.745,0.761,0.653,0.692,0.672,0.726,0.723,0.725,,
,120,0.805,0.777,0.791,0.694,0.728,0.71,0.759,0.757,0.758,,
,130,0.766,0.757,0.761,0.655,0.666,0.66,0.72,0.719,0.72,,
,140,0.763,0.741,0.752,0.642,0.669,0.655,0.714,0.711,0.712,,
,150,0.785,0.732,0.758,0.648,0.711,0.678,0.729,0.723,0.725,,
Jackrabbit,10,0.688,0.874,0.77,0.66,0.381,0.483,0.677,0.682,0.658,,
,20,0.752,0.774,0.763,0.63,0.601,0.615,0.704,0.706,0.705,,
,30,0.77,0.777,0.773,0.646,0.638,0.642,0.722,0.722,0.722,,
,40,0.766,0.754,0.76,0.625,0.641,0.633,0.711,0.71,0.71,,
,50,0.799,0.76,0.779,0.651,0.701,0.676,0.741,0.737,0.738,,
,60,0.79,0.722,0.754,0.617,0.7,0.656,0.723,0.714,0.716,,
,70,0.801,0.724,0.761,0.626,0.72,0.669,0.733,0.722,0.725,,
,80,0.802,0.726,0.762,0.627,0.72,0.67,0.734,0.724,0.726,,
,90,0.811,0.752,0.781,0.653,0.727,0.688,0.749,0.742,0.744,,
,100,0.818,0.742,0.778,0.648,0.743,0.692,0.752,0.742,0.745,,
,110,0.813,0.751,0.781,0.653,0.73,0.689,0.751,0.743,0.745,,
,120,0.813,0.767,0.789,0.666,0.725,0.694,0.756,0.751,0.752,,
,130,0.795,0.762,0.778,0.651,0.693,0.671,0.739,0.735,0.737,,
,140,0.81,0.764,0.786,0.661,0.721,0.69,0.752,0.747,0.749,,
,150,0.809,0.777,0.793,0.672,0.713,0.692,0.756,0.752,0.753,,
Lucene,10,0.778,0.916,0.842,0.623,0.346,0.445,0.734,0.754,0.728,,
,20,0.802,0.869,0.834,0.585,0.463,0.517,0.74,0.753,0.744,,
,30,0.809,0.852,0.83,0.573,0.498,0.533,0.742,0.751,0.745,,
,40,0.831,0.845,0.838,0.595,0.571,0.583,0.764,0.767,0.765,,
,50,0.859,0.827,0.842,0.603,0.659,0.63,0.786,0.779,0.782,,
,60,0.854,0.817,0.835,0.587,0.651,0.618,0.778,0.77,0.773,,
,70,0.86,0.815,0.837,0.59,0.667,0.626,0.783,0.773,0.777,,
,80,0.858,0.818,0.838,0.592,0.66,0.624,0.782,0.773,0.777,,
,90,0.866,0.797,0.83,0.575,0.69,0.628,0.783,0.766,0.772,,
,100,0.876,0.828,0.851,0.62,0.706,0.66,0.803,0.793,0.797,,
,110,0.888,0.799,0.841,0.597,0.747,0.664,0.805,0.784,0.791,,
,120,0.868,0.821,0.844,0.605,0.687,0.643,0.793,0.783,0.787,,
,130,0.87,0.81,0.839,0.595,0.697,0.642,0.792,0.778,0.783,,
,140,0.873,0.838,0.855,0.632,0.696,0.662,0.804,0.797,0.8,,
,150,0.872,0.828,0.85,0.618,0.696,0.655,0.8,0.79,0.794,,
,,,,,,,,,,,,
